relation_key,from_table,from_column,to_table,to_column,relation_type,source_status,in_existing,in_to_be,current_state,next_action,phase,on_supabase,supabase_configured,needs_more_data,on_convex,convex_configured,convex_synced,ready_for_launch,mach_layer,notes
blueprint_cues.blueprint_id->session_blueprints.id,blueprint_cues,blueprint_id,session_blueprints,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
blueprint_cues.cue_trigger_id->cue_triggers.id,blueprint_cues,cue_trigger_id,cue_triggers,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
blueprint_steps.blueprint_id->session_blueprints.id,blueprint_steps,blueprint_id,session_blueprints,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
blueprint_steps.technique_step_id->technique_steps.id,blueprint_steps,technique_step_id,technique_steps,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
control_definitions.id->control_packs.id,control_definitions,id,control_packs,id,many-to-many,existing,true,false,derived_live,keep,P0,true,true,false,false,false,false,true,Core,canon/RelationsManifest.md
control_pack_items.control_id->control_definitions.id,control_pack_items,control_id,control_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
control_pack_items.pack_id->control_packs.id,control_pack_items,pack_id,control_packs,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
coupling_rules.from_control_id->control_definitions.id,coupling_rules,from_control_id,control_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
coupling_rules.to_control_id->control_definitions.id,coupling_rules,to_control_id,control_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
cross_domain_mappings.source_domain->cross_domain_mappings.target_domain,cross_domain_mappings,source_domain,cross_domain_mappings,target_domain,edge_registry,to_be,false,true,live_edge_table,keep_and_validate,P0,true,true,false,false,false,false,true,Core,Treat as app-level domain bridge table
default_weights.attribute_id->attribute_taxonomy.id,default_weights,attribute_id,attribute_taxonomy,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P1,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
default_weights.programme_profile_id->programme_profiles.id,default_weights,programme_profile_id,programme_profiles,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P1,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
isu_agreements.project_id->isu_projects.id,isu_agreements,project_id,isu_projects,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Agreement engine records tied to ISU projects
isu_agreements.rule_id->rules_gating.id,isu_agreements,rule_id,rules_gating,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Connect agreements to gating and compliance rules
isu_funding_allocations.project_id->isu_projects.id,isu_funding_allocations,project_id,isu_projects,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Track allocation decisions per project
isu_funding_allocations.token_class_id->isu_token_classes.id,isu_funding_allocations,token_class_id,isu_token_classes,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Track how much each token class funds a project
isu_governance_votes.project_id->isu_projects.id,isu_governance_votes,project_id,isu_projects,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Hybrid governance votes tied to project decisions
isu_governance_votes.voter_profile_id->programme_profiles.id,isu_governance_votes,voter_profile_id,programme_profiles,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Track participant vote records by profile
isu_projects.owner_profile_id->programme_profiles.id,isu_projects,owner_profile_id,programme_profiles,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Allow profile-owned sustainability projects
isu_projects.sector_attribute_id->attribute_taxonomy.id,isu_projects,sector_attribute_id,attribute_taxonomy,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Map each ISU project to one primary sector attribute
isu_recoup_rules.token_class_id->isu_token_classes.id,isu_recoup_rules,token_class_id,isu_token_classes,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Define recoup logic per token class
isu_token_classes.project_id->isu_projects.id,isu_token_classes,project_id,isu_projects,id,schema_fk,to_be,false,true,not_created,create_table_then_add_fk,P4,false,false,false,false,false,false,false,Core,Each token class belongs to an ISU project
mappings.from_db+from_field->mappings.to_db+to_field,mappings,from_db+from_field,mappings,to_db+to_field,edge_registry,to_be,false,true,live_edge_table,keep_and_validate,P0,true,true,false,false,false,false,true,Core,Treat as app-level edge registry
persona_kb_compatibility.kb_id->knowledge_bases.id,persona_kb_compatibility,kb_id,knowledge_bases,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
persona_lens_compatibility.lens_id->lens_definitions.id,persona_lens_compatibility,lens_id,lens_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
persona_lens_compatibility.persona_id->archetypal_personas.id,persona_lens_compatibility,persona_id,archetypal_personas,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and should be linked
profile_pack_map.pack_id->control_packs.id,profile_pack_map,pack_id,control_packs,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
profile_pack_map.programme_profile_id->programme_profiles.id,profile_pack_map,programme_profile_id,programme_profiles,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P1,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
programme_knowledge_map.kb_id->knowledge_bases.id,programme_knowledge_map,kb_id,knowledge_bases,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
programme_knowledge_map.programme_profile_id->programme_profiles.id,programme_knowledge_map,programme_profile_id,programme_profiles,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P1,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
questionnaire_questions.questionnaire_id->questionnaires.id,questionnaire_questions,questionnaire_id,questionnaires,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
questionnaire_responses.assigned_profile_id->programme_profiles.id,questionnaire_responses,assigned_profile_id,programme_profiles,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P2,true,false,false,false,false,false,false,Core,Assigned profile should point to programme profile
questionnaire_responses.questionnaire_id->questionnaires.id,questionnaire_responses,questionnaire_id,questionnaires,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
session_blueprints.lens_preset_id->meta_lens_presets.id,session_blueprints,lens_preset_id,meta_lens_presets,id,schema_fk,to_be,false,true,missing_fk,fix_id_strategy_then_add_fk,P2,true,false,false,false,false,false,false,Core,Confirm id type alignment first
session_blueprints.narration_style_id->narration_styles.id,session_blueprints,narration_style_id,narration_styles,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
session_blueprints.persona_id->archetypal_personas.id,session_blueprints,persona_id,archetypal_personas,id,schema_fk,to_be,false,true,missing_fk,fix_id_strategy_then_add_fk,P2,true,false,false,false,false,false,false,Core,Column is uuid while target id is bigint
session_blueprints.programme_profile_id->programme_profiles.id,session_blueprints,programme_profile_id,programme_profiles,id,schema_fk,to_be,false,true,missing_fk,fix_id_strategy_then_add_fk,P2,true,false,false,false,false,false,false,Core,Column is uuid while target id is bigint
session_blueprints.timing_preset_id->timing_presets.id,session_blueprints,timing_preset_id,timing_presets,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
session_outputs.session_run_id->session_runs.id,session_outputs,session_run_id,session_runs,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
session_runs.persona_id->archetypal_personas.id,session_runs,persona_id,archetypal_personas,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P2,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
session_runs.session_template_id->session_templates.id,session_runs,session_template_id,session_templates,id,schema_fk,to_be,false,true,missing_fk,add_fk_after_type_fix,P1,true,false,false,false,false,false,false,Core,Column is text while target id is bigint
session_templates.breath_protocols____nl_->breath_library.protocol_name,session_templates,breath_protocols____nl_,breath_library,protocol_name,mapping_rule,to_be,false,true,text_link_only,stabilize_lookup_key,P2,true,false,true,false,false,false,false,Core,Current link is by text not id
session_templates.movements____nl_->movements_system.movement___practice,session_templates,movements____nl_,movements_system,movement___practice,mapping_rule,to_be,false,true,text_link_only,stabilize_lookup_key,P2,true,false,true,false,false,false,false,Core,Current link is by text not id
session_templates.safety_rules____nl_->safety_rules.rule_name,session_templates,safety_rules____nl_,safety_rules,rule_name,mapping_rule,to_be,false,true,text_link_only,stabilize_lookup_key,P2,true,false,true,false,false,false,false,Core,Current link is by text not id
session_templates.session_type____l1_->session_types.session_type,session_templates,session_type____l1_,session_types,session_type,mapping_rule,to_be,false,true,text_link_only,stabilize_lookup_key,P2,true,false,true,false,false,false,false,Core,Current link is by text not id
session_templates.style____nl_->archetypal_personas.persona,session_templates,style____nl_,archetypal_personas,persona,mapping_rule,to_be,false,true,text_link_only,stabilize_lookup_key,P2,true,false,true,false,false,false,false,Core,Current link is by text not id
technique_lens_explanations.lens_id->lens_definitions.id,technique_lens_explanations,lens_id,lens_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
technique_lens_explanations.technique_id->techniques.id,technique_lens_explanations,technique_id,techniques,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
technique_steps.phase_id->session_phases.id,technique_steps,phase_id,session_phases,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
technique_steps.transition_rule_id->transition_rules.id,technique_steps,transition_rule_id,transition_rules,id,schema_fk,to_be,false,true,missing_fk,add_fk,P1,true,false,false,false,false,false,false,Core,Column exists and ids are uuid
user_checkins.control_values->control_definitions.id,user_checkins,control_values,control_definitions,id,mapping_rule,to_be,false,true,json_link_only,define_json_schema_and_fk_strategy,P3,true,false,true,false,false,false,false,Core,Current link lives inside jsonb
user_dashboard_layouts.layout_config->control_packs.id,user_dashboard_layouts,layout_config,control_packs,id,mapping_rule,to_be,false,true,json_link_only,define_json_schema_and_fk_strategy,P3,true,false,true,false,false,false,false,Core,Current link lives inside jsonb
user_dashboard_layouts.layout_config->dashboard_blocks.id,user_dashboard_layouts,layout_config,dashboard_blocks,id,mapping_rule,to_be,false,true,json_link_only,define_json_schema_and_fk_strategy,P3,true,false,true,false,false,false,false,Core,Current link lives inside jsonb
user_knowledge_access.kb_id->knowledge_bases.id,user_knowledge_access,kb_id,knowledge_bases,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
user_lens_preferences.lens_id->lens_definitions.id,user_lens_preferences,lens_id,lens_definitions,id,schema_fk,both,true,true,live,keep,P0,true,true,false,false,false,false,true,Core,Already live
