botanical_entry_id,common_name_pt,common_name_en,botanical_name,scientific_name,variety_cultivar,alternative_names,duplicate_name_group,duplicate_name_count,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat,plant_type,perennial_main_group,sweep_bucket,scarcity_class,conservation_relevance,heritage_flag,medicinal_flag,ecological_value_flag,perennial_rating,inclusion_rationale,mature_height_m_min,mature_height_m_max,mature_height_m,mature_spread_m_min,mature_spread_m_max,mature_spread_m,size_class,root_volume_class,container_suitable,pruning_response,dwarf_flag,grafted_flag,self_fertile_flag,pollination_requirement,pollinator_type,pollination_notes,plant_lifespan_years,productive_lifespan_years,replacement_cycle_years,data_confidence_level,data_source_type,record_completeness_score,fields_completed_count,system_roles,propagation_difficulty,propagation_success_rate,invasiveness_risk_level,spread_control_required,min_temp_c,max_temp_c,drought_tolerance,frost_tolerance,endemic_to_brazil,conservation_flag,invasive_risk_brazil,source_url_primary,source_url_secondary,source_url_tertiary,confidence_score,confidence_notes,kombucha_1f_friendly_flag,tea_friendly_flag,bitters_friendly_flag,cordial_friendly_flag,fresh_produce_friendly_flag,preserve_friendly_flag,cosmetic_friendly_flag,source_table,source_row
BOT-BR-0145,cipó-bala,,Abuta selloana,abuta selloana,,uva-do-mato,cipo-bala,2,,,,,,Liana/volúvel/trepadeira,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Mata Atlântica. Vegetation: Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial). CNCFlora overlay category: LC. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: dense ombrophilous forest fit; seasonal-forest transition fit; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01248",,,,,,,,,,Terrícola,"Mata Atlântica; Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)","Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",liana_vine,Liana/Vine,heritage_scarce_regionally_preserved,endemic_or_localized,CNCFlora_overlay_LC,TRUE,,TRUE,5,biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,6,6,,2.5,2.5,L,high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium,JBRJ_Flora2015; CNCFlora_overlay; derived_builder_fields,0.5,35,climber,,,low_native,FALSE,-2,34,medium,medium_high,TRUE,CNCFlora_overlay_LC,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=abuta%20selloana,https://powo.science.kew.org/results?q=abuta%20selloana,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,19749
BOT-BR-0146,macela,,Achyrocline alata,achyrocline alata,,macela-do-brejo,macela,1,,,,,,Erva; Subarbusto,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Caatinga, Cerrado, Mata Atlântica, Pampa. Vegetation: Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu). Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: montane/cloud-edge fit; homegarden/disturbed-edge crossover; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01376",,,,,,,,,,Terrícola,"Caatinga, Cerrado, Mata Atlântica, Pampa; Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)","Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",subshrub_herb,Subshrub/Herb,indigenous_traditional_long_use,known_native,,FALSE,,TRUE,4,biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Native vernacular taxon retained for traditional/long-use coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,0.6,0.6,,0.5,0.5,S,low,yes,cutback_or_cleanup_tolerant,FALSE,,,,,,,,,medium,JBRJ_Flora2015; derived_builder_fields,0.486,34,xeric_support,,,low_native,FALSE,8,40,high,low,FALSE,,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=achyrocline%20alata,https://powo.science.kew.org/results?q=achyrocline%20alata,,0.486,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,102955
BOT-BR-0147,Agarradinho,,Actinocephalus bongardii,actinocephalus bongardii,,Buquê-de-noiva; Bem-Casado; Chuveirinho,agarradinho,1,,,,,,Erva,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Caatinga, Cerrado, Mata Atlântica. Vegetation: Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu). Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: montane/cloud-edge fit; homegarden/disturbed-edge crossover; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01067",,,,,,,,,,Terrícola,"Caatinga, Cerrado, Mata Atlântica; Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)","Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",herb,Herb,heritage_scarce_regionally_preserved,endemic_or_localized,endemic_native,TRUE,,TRUE,4,biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,0.8,0.8,,0.5,0.5,S,low,yes,cutback_or_cleanup_tolerant,FALSE,,,,,,,,,medium,JBRJ_Flora2015; derived_builder_fields,0.5,35,xeric_support,,,low_native,FALSE,8,40,high,low,TRUE,endemic_native,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=actinocephalus%20bongardii,https://powo.science.kew.org/results?q=actinocephalus%20bongardii,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,7506
BOT-BR-0148,cortiça,,Aeschynomene rudis,aeschynomene rudis,,corticeira,cortica,1,,,,,,Erva; Subarbusto,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal. Vegetation: Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial). Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: wetland/mangrove-edge fit; dense ombrophilous forest fit; seasonal-forest transition fit; homegarden/disturbed-edge crossover; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01378",,,,,,,,,,Aquática; Terrícola,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal; Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)","Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",subshrub_herb,Subshrub/Herb,indigenous_traditional_long_use,known_native,,FALSE,,TRUE,4,biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Native vernacular taxon retained for traditional/long-use coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,0.6,0.6,,0.5,0.5,S,low,yes,cutback_or_cleanup_tolerant,FALSE,,,,,,,,,medium,JBRJ_Flora2015; derived_builder_fields,0.486,34,nitrogen_fixer;wetland_filter;xeric_support,,,low_native,FALSE,8,40,high,low,FALSE,,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=aeschynomene%20rudis,https://powo.science.kew.org/results?q=aeschynomene%20rudis,,0.486,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,82605
BOT-BR-0149,cervejinha,,Agonandra brasiliensis subsp. brasiliensis,agonandra brasiliensis subsp. brasiliensis,subsp. brasiliensis,marfim de veado; pau marfim,cervejinha,1,,,,,,Arbusto; Árvore,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal. Vegetation: Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta de Várzea, Floresta Estacional Decidual, Floresta Estacional Semidecidual. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: seasonal-forest transition fit; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-00524",,,,,,,,,,Terrícola,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal; Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta de Várzea, Floresta Estacional Decidual, Floresta Estacional Semidecidual","Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta de Várzea, Floresta Estacional Decidual, Floresta Estacional Semidecidual",tree_shrub,Tree/Shrub,heritage_scarce_regionally_preserved,known_native,,TRUE,,TRUE,5,biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,5,5,,3,3,L,high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium_high,JBRJ_Flora2015; derived_builder_fields,0.5,35,structural;xeric_support,,,low_native,FALSE,8,40,high,low,FALSE,,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=agonandra%20brasiliensis%20subsp.%20brasiliensis,https://powo.science.kew.org/results?q=agonandra%20brasiliensis%20subsp.%20brasiliensis,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,19967
BOT-BR-0150,Caxandó,,Allagoptera arenaria,allagoptera arenaria,,Côco da Praia,caxando,1,,,,,,Erva,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Mata Atlântica. Vegetation: Restinga. CNCFlora overlay category: LC. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: restinga/coastal-sand fit; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01294",,,,,,,,,,Terrícola,Mata Atlântica; Restinga,Restinga,palm,Palm,heritage_scarce_regionally_preserved,endemic_or_localized,CNCFlora_overlay_LC,TRUE,,TRUE,5,biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,12,12,,4,4,XL,very_high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium,JBRJ_Flora2015; CNCFlora_overlay; RJ_restoration_overlay; derived_builder_fields,0.5,35,structural,,,low_native,FALSE,-2,34,medium,medium_high,TRUE,CNCFlora_overlay_LC,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=allagoptera%20arenaria,https://powo.science.kew.org/results?q=allagoptera%20arenaria,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,15666
BOT-BR-0151,Cachandó,,Allagoptera brevicalyx,allagoptera brevicalyx,,,cachando,1,,,,,,Erva,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Caatinga, Mata Atlântica. Vegetation: Caatinga (stricto sensu), Restinga. CNCFlora overlay category: VU. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: restinga/coastal-sand fit; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-00067",,,,,,,,,,Terrícola,"Caatinga, Mata Atlântica; Caatinga (stricto sensu), Restinga","Caatinga (stricto sensu), Restinga",palm,Palm,ecological_conservation_relevant,elevated_concern,CNCFlora_overlay_VU,FALSE,,TRUE,5,biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Threat-assessed Brazil-occurring taxon retained for conservation-targeted coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,9,9,,4,4,XL,very_high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium_high,JBRJ_Flora2015; CNCFlora_overlay; derived_builder_fields,0.486,34,structural;xeric_support,,,low_native,FALSE,8,40,high,low,FALSE,CNCFlora_overlay_VU,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=allagoptera%20brevicalyx,https://powo.science.kew.org/results?q=allagoptera%20brevicalyx,,0.486,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,15667
BOT-BR-0152,Palha-branca,,Allagoptera caudescens,allagoptera caudescens,,buri,palha-branca,1,,,,,,Erva,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Mata Atlântica. Vegetation: Área Antrópica, Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial). Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: dense ombrophilous forest fit; homegarden/disturbed-edge crossover; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-01295",,,,,,,,,,Terrícola,"Mata Atlântica; Área Antrópica, Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial)","Área Antrópica, Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial)",palm,Palm,heritage_scarce_regionally_preserved,endemic_or_localized,endemic_native,TRUE,,TRUE,5,biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,12,12,,4,4,XL,very_high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium,JBRJ_Flora2015; RJ_restoration_overlay; derived_builder_fields,0.5,35,structural,,,low_native,FALSE,5,34,low_to_medium,low_to_medium,TRUE,endemic_native,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=allagoptera%20caudescens,https://powo.science.kew.org/results?q=allagoptera%20caudescens,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,33974
BOT-BR-0153,fruta de paraó,,Allophylus edulis,allophylus edulis,,vacum; baga-de-morcego; três-folhas-do-mato; murta-vermelha; murici-brava; chal-chal; perta-cu; fruto-do-rei; vacunzinho; fruto-de-pombo; canhou,fruta de parao,1,,,,,,Arbusto; Árvore,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal. Vegetation: Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Floresta Ombrófila Mista. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: dense ombrophilous forest fit; seasonal-forest transition fit; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-00997",,,,,,,,,,Terrícola,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal; Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Floresta Ombrófila Mista","Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Floresta Ombrófila Mista",tree_shrub,Tree/Shrub,indigenous_traditional_long_use,known_native,,FALSE,,TRUE,5,biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Native vernacular taxon retained for traditional/long-use coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,5,5,,3,3,L,high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium,JBRJ_Flora2015; RJ_restoration_overlay; derived_builder_fields,0.486,34,structural;xeric_support,,,low_native,FALSE,8,40,high,low,FALSE,,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=allophylus%20edulis,https://powo.science.kew.org/results?q=allophylus%20edulis,,0.486,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,20873
BOT-BR-0154,fruta-de-café,,Allophylus puberulus,allophylus puberulus,,fruta-de-saíra; cumixá; capiú-de-três-folhas; arbusto-do-pico-alto; frei-jorge; sombrinha; estraladeira; fruto-de-jacú; quixaba-vermelha; cumixá-branco,fruta-de-cafe,1,,,,,,Arbusto; Árvore,,"Accepted Brazil taxon from JBRJ angiosperm checklist. Domains: Amazônia, Caatinga, Cerrado, Mata Atlântica. Vegetation: Área Antrópica, Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial), Restinga. CNCFlora overlay category: LC. Size, climate, root and layer builder fields are provisional derivations from life form + domain where no taxon-level trait source was present in this import. Ubatuba/Green Coast focus retained: restinga/coastal-sand fit; dense ombrophilous forest fit; homegarden/disturbed-edge crossover; tree rows limited to <=12 m in this pass. | source_botanical_entry_id=BR-BEM-00979",,,,,,,,,,Terrícola,"Amazônia, Caatinga, Cerrado, Mata Atlântica; Área Antrópica, Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial), Restinga","Área Antrópica, Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Ombrófila (= Floresta Pluvial), Restinga",tree_shrub,Tree/Shrub,heritage_scarce_regionally_preserved,endemic_or_localized,CNCFlora_overlay_LC,TRUE,,TRUE,5,biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06; scaleup_source=ubatuba_green_coast_focus_pack_v1; source_rationale=Named infraspecific or endemic vernacular taxon retained for heritage/regional preservation coverage. Ubatuba/Green Coast focus filter applied; Atlantic Forest/coastal fit retained; tall trees excluded for current pass.,,5,5,,3,3,L,high,limited,responsive_with_species_variation,FALSE,,,,,,,,,medium,JBRJ_Flora2015; CNCFlora_overlay; derived_builder_fields,0.5,35,structural;xeric_support,,,low_native,FALSE,8,40,high,low,TRUE,CNCFlora_overlay_LC,low_native,https://floradobrasil.jbrj.gov.br/consulta/?q=allophylus%20puberulus,https://powo.science.kew.org/results?q=allophylus%20puberulus,,0.5,Atlantic Forest scale-up row carried from Ubatuba / Green Coast focus pack; layer and role normalization applied without schema changes.,,,,,,,,angiospermsdatabase.xlsx,32703
