product_path_id,botanical_entry_id,product_family_tags,product_angle_notes,kombucha_1f_friendly,bitters_friendly,cordial_friendly,tea_friendly,fresh_produce_friendly,preserve_friendly,cosmetic_friendly,edible_flower_friendly,cut_flower_friendly,medicinal_flower_friendly,petal_flavour_friendly,dried_floral_friendly,source_table,source_row
BPP-BOT-BR-0145,BOT-BR-0145,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,19749
BPP-BOT-BR-0146,BOT-BR-0146,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,102955
BPP-BOT-BR-0147,BOT-BR-0147,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,7506
BPP-BOT-BR-0148,BOT-BR-0148,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,82605
BPP-BOT-BR-0149,BOT-BR-0149,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,19967
BPP-BOT-BR-0150,BOT-BR-0150,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,15666
BPP-BOT-BR-0151,BOT-BR-0151,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,15667
BPP-BOT-BR-0152,BOT-BR-0152,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,33974
BPP-BOT-BR-0153,BOT-BR-0153,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,20873
BPP-BOT-BR-0154,BOT-BR-0154,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,32703
BPP-BOT-BR-0155,BOT-BR-0155,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,38451
BPP-BOT-BR-0156,BOT-BR-0156,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,101616
BPP-BOT-BR-0157,BOT-BR-0157,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,15407
BPP-BOT-BR-0158,BOT-BR-0158,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,101473
BPP-BOT-BR-0159,BOT-BR-0159,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,101479
BPP-BOT-BR-0160,BOT-BR-0160,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,15408
BPP-BOT-BR-0161,BOT-BR-0161,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green;xeric_support,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,15409
BPP-BOT-BR-0162,BOT-BR-0162,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,124397
BPP-BOT-BR-0163,BOT-BR-0163,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,124398
BPP-BOT-BR-0164,BOT-BR-0164,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,112500
BPP-BOT-BR-0165,BOT-BR-0165,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,110196
BPP-BOT-BR-0166,BOT-BR-0166,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,110258
BPP-BOT-BR-0167,BOT-BR-0167,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4913
BPP-BOT-BR-0168,BOT-BR-0168,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4966
BPP-BOT-BR-0169,BOT-BR-0169,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4090
BPP-BOT-BR-0170,BOT-BR-0170,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4092
BPP-BOT-BR-0171,BOT-BR-0171,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4102
BPP-BOT-BR-0172,BOT-BR-0172,review_needed_for_atlantic_product_mapping,Atlantic focus pack provided no explicit product-use fields for this row; retain for later product mapping.,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,4103
BPP-BOT-BR-0173,BOT-BR-0173,Fresh Produce,Derived from normalized roles for Atlantic Forest scale-up: leafy_green,,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,290519
