hons_overlay_id,botanical_entry_id,related_entity_id,ownership_model,rights_notes,stage,stage_status,provenance_status,rights_status,branch_eligibility,synergy_status,node_relevance,experimental_policy,release_policy,public_publish_status,attribution,governance_notes,source_table,source_row
HONS-BOT-BR-0145,BOT-BR-0145,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,19749
HONS-BOT-BR-0146,BOT-BR-0146,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,102955
HONS-BOT-BR-0147,BOT-BR-0147,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,7506
HONS-BOT-BR-0148,BOT-BR-0148,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,82605
HONS-BOT-BR-0149,BOT-BR-0149,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,19967
HONS-BOT-BR-0150,BOT-BR-0150,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,15666
HONS-BOT-BR-0151,BOT-BR-0151,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,15667
HONS-BOT-BR-0152,BOT-BR-0152,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,33974
HONS-BOT-BR-0153,BOT-BR-0153,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,20873
HONS-BOT-BR-0154,BOT-BR-0154,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,32703
HONS-BOT-BR-0155,BOT-BR-0155,,unresolved,unresolved,unresolved,unresolved,atlantic_scaleup_source_pack,unresolved,branch_brazil;branch_brazil_ubatuba_green_coast,unresolved,atlantic_forest_current_branch,unresolved,delta_only,internal_audit,Ubatuba / Green Coast source workbooks,Atlantic Forest scale-up populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Atlantic source pack.,ubatuba_green_coast_focus_pack_v1,38451
