botanical_entry_id,common_name_pt,common_name_en,scientific_name,variety_cultivar,alternative_names,plant_type,heritage_flag,medicinal_flag,inclusion_rationale,mature_height_m_min,mature_height_m_max,mature_spread_m_min,mature_spread_m_max,data_confidence_level,data_source_type,record_completeness_score,fields_completed_count,system_roles,invasiveness_risk_level,spread_control_required,min_temp_c,max_temp_c,drought_tolerance,frost_tolerance,endemic_to_brazil,conservation_flag,invasive_risk_brazil,source_url_primary,source_url_secondary,source_url_tertiary,confidence_score,confidence_notes,source_table,source_row
BOT-BR-0001,Abacaxi,pineapple,Ananas comosus,,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,2
BOT-BR-0002,Abacaxi — BRS Ajubá,pineapple,Ananas comosus,BRS Ajubá,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,3
BOT-BR-0003,Abacaxi — BRS Imperial,pineapple,Ananas comosus,BRS Imperial,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,4
BOT-BR-0004,Abacaxi — BRS Vitória,pineapple,Ananas comosus,BRS Vitória,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,5
BOT-BR-0005,Abacaxi — MD-2,pineapple,Ananas comosus,MD-2,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,6
BOT-BR-0006,Abacaxi — Pérola,pineapple,Ananas comosus,Pérola,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,7
BOT-BR-0007,Abacaxi — Smooth Cayenne,pineapple,Ananas comosus,Smooth Cayenne,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,8
BOT-BR-0008,Abacaxi — Turiaçu,pineapple,Ananas comosus,Turiaçu,,Herb,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,0.6,1.5,0.6,1.2,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;medicinal;pollinator_support,low,FALSE,20.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,9
BOT-BR-0009,Acerola,acerola,Malpighia emarginata,,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.818,9,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,10
BOT-BR-0010,Acerola — BRS 235 Apodi,acerola,Malpighia emarginata,BRS 235 Apodi,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,11
