product_path_id,botanical_entry_id,product_family_tags,product_angle_notes,kombucha_1f_friendly,bitters_friendly,cordial_friendly,tea_friendly,fresh_produce_friendly,preserve_friendly,cosmetic_friendly,edible_flower_friendly,cut_flower_friendly,medicinal_flower_friendly,petal_flavour_friendly,dried_floral_friendly,source_table,source_row
BPP-BOT-BR-0001,BOT-BR-0001,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fruit;Pulp;Beverage;Cordial,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,2
BPP-BOT-BR-0002,BOT-BR-0002,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,3
BPP-BOT-BR-0003,BOT-BR-0003,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,4
BPP-BOT-BR-0004,BOT-BR-0004,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,5
BPP-BOT-BR-0005,BOT-BR-0005,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,6
BPP-BOT-BR-0006,BOT-BR-0006,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,7
BPP-BOT-BR-0007,BOT-BR-0007,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,8
BPP-BOT-BR-0008,BOT-BR-0008,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Juice;Pulp,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,9
BPP-BOT-BR-0009,BOT-BR-0009,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fruit;Pulp;Beverage;Cordial,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,10
BPP-BOT-BR-0010,BOT-BR-0010,Cordial / Syrup; Extract / Concentrate; Fresh Produce; Frozen Pulp / Purée; Functional Beverage / RTD; Jam / Preserve; Juice / Nectar; Kombucha 1F Ingredient; Kombucha 2F Flavoring,Fresh market;Pulp;Nutraceutical;Juice,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,Botanicals_Master,11
