hons_overlay_id,botanical_entry_id,related_entity_id,ownership_model,rights_notes,stage,stage_status,provenance_status,rights_status,branch_eligibility,synergy_status,node_relevance,experimental_policy,release_policy,public_publish_status,attribution,governance_notes,source_table,source_row
HONS-BOT-BR-0001,BOT-BR-0001,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,2
HONS-BOT-BR-0002,BOT-BR-0002,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,3
HONS-BOT-BR-0003,BOT-BR-0003,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,4
HONS-BOT-BR-0004,BOT-BR-0004,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,5
HONS-BOT-BR-0005,BOT-BR-0005,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,6
HONS-BOT-BR-0006,BOT-BR-0006,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,7
HONS-BOT-BR-0007,BOT-BR-0007,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,8
HONS-BOT-BR-0008,BOT-BR-0008,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,9
HONS-BOT-BR-0009,BOT-BR-0009,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,10
HONS-BOT-BR-0010,BOT-BR-0010,,unresolved,unresolved,unresolved,unresolved,source_workbook_backfilled,unresolved,branch_brazil,unresolved,current_branch_botanical,unresolved,delta_only,internal_audit,Brazil source workbooks,FNP populated explicit unresolved governance statuses because no row-level HONS source fields exist in the current Brazil workbooks.,Botanicals_Master,11
