design_matrix_id,botanical_entry_id,food_forest_layer,canonical_layer_primary,canonical_layer_secondary,layer_stack_tags,guild_role,shade_tolerance,water_need,companion_tags,notes,source_table,source_row
SDM-BOT-BR-0001,BOT-BR-0001,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,2
SDM-BOT-BR-0002,BOT-BR-0002,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,3
SDM-BOT-BR-0003,BOT-BR-0003,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,4
SDM-BOT-BR-0004,BOT-BR-0004,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,5
SDM-BOT-BR-0005,BOT-BR-0005,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,6
SDM-BOT-BR-0006,BOT-BR-0006,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,7
SDM-BOT-BR-0007,BOT-BR-0007,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,8
SDM-BOT-BR-0008,BOT-BR-0008,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:bromeliad_rosette,fruit_producer,low,medium,pollinator_support,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,9
SDM-BOT-BR-0009,BOT-BR-0009,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,10
SDM-BOT-BR-0010,BOT-BR-0010,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,11
SDM-BOT-BR-0011,BOT-BR-0011,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,12
SDM-BOT-BR-0012,BOT-BR-0012,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,13
SDM-BOT-BR-0013,BOT-BR-0013,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,14
SDM-BOT-BR-0014,BOT-BR-0014,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,15
SDM-BOT-BR-0015,BOT-BR-0015,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,16
SDM-BOT-BR-0016,BOT-BR-0016,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,17
SDM-BOT-BR-0017,BOT-BR-0017,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,18
SDM-BOT-BR-0018,BOT-BR-0018,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,19
SDM-BOT-BR-0019,BOT-BR-0019,Herbaceous,herbaceous,,primary:herbaceous,medicinal,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,20
SDM-BOT-BR-0020,BOT-BR-0020,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Caatinga|Cerrado; biome_basis=caatinga|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,21
SDM-BOT-BR-0021,BOT-BR-0021,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Atlantic_Forest; biome_basis=amazon|atlantic_forest; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,22
SDM-BOT-BR-0022,BOT-BR-0022,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,23
SDM-BOT-BR-0023,BOT-BR-0023,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Highland|South_Subtropical; biome_basis=atlantic_forest|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,24
