root_profile_id,botanical_entry_id,root_form,root_depth_class,root_spread_class,root_aggression,root_depth_min_m,root_depth_max_m,root_architecture_type,root_depth_category,excavation_sensitivity,root_competition_intensity,container_root_behavior,waterlogging_tolerance,notes,source_table,source_row
ROOT-BOT-BR-0001,BOT-BR-0001,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0002,BOT-BR-0002,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0003,BOT-BR-0003,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0004,BOT-BR-0004,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0005,BOT-BR-0005,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0006,BOT-BR-0006,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0007,BOT-BR-0007,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0008,BOT-BR-0008,fibrous shallow roots,shallow,narrow to moderate,low,,,fibrous shallow roots,shallow,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,17
ROOT-BOT-BR-0009,BOT-BR-0009,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0010,BOT-BR-0010,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0011,BOT-BR-0011,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0012,BOT-BR-0012,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0013,BOT-BR-0013,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0014,BOT-BR-0014,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0015,BOT-BR-0015,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0016,BOT-BR-0016,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0017,BOT-BR-0017,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0018,BOT-BR-0018,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,148
ROOT-BOT-BR-0019,BOT-BR-0019,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,20
ROOT-BOT-BR-0020,BOT-BR-0020,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,257
ROOT-BOT-BR-0021,BOT-BR-0021,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,274
ROOT-BOT-BR-0022,BOT-BR-0022,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,260
ROOT-BOT-BR-0023,BOT-BR-0023,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,261
ROOT-BOT-BR-0024,BOT-BR-0024,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,25
ROOT-BOT-BR-0025,BOT-BR-0025,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,26
ROOT-BOT-BR-0026,BOT-BR-0026,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,27
ROOT-BOT-BR-0027,BOT-BR-0027,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,321
ROOT-BOT-BR-0028,BOT-BR-0028,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,303
ROOT-BOT-BR-0029,BOT-BR-0029,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,303
ROOT-BOT-BR-0030,BOT-BR-0030,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,303
ROOT-BOT-BR-0031,BOT-BR-0031,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,32
ROOT-BOT-BR-0032,BOT-BR-0032,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,264
ROOT-BOT-BR-0033,BOT-BR-0033,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,171
ROOT-BOT-BR-0034,BOT-BR-0034,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,334
ROOT-BOT-BR-0035,BOT-BR-0035,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,36
ROOT-BOT-BR-0036,BOT-BR-0036,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,37
ROOT-BOT-BR-0037,BOT-BR-0037,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,38
ROOT-BOT-BR-0038,BOT-BR-0038,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,39
ROOT-BOT-BR-0039,BOT-BR-0039,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,40
ROOT-BOT-BR-0040,BOT-BR-0040,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,41
ROOT-BOT-BR-0041,BOT-BR-0041,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,42
ROOT-BOT-BR-0042,BOT-BR-0042,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,43
ROOT-BOT-BR-0043,BOT-BR-0043,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,44
ROOT-BOT-BR-0044,BOT-BR-0044,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,45
ROOT-BOT-BR-0045,BOT-BR-0045,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,46
ROOT-BOT-BR-0046,BOT-BR-0046,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,47
ROOT-BOT-BR-0047,BOT-BR-0047,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,48
ROOT-BOT-BR-0048,BOT-BR-0048,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,49
ROOT-BOT-BR-0049,BOT-BR-0049,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,50
ROOT-BOT-BR-0050,BOT-BR-0050,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,290
ROOT-BOT-BR-0051,BOT-BR-0051,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,20
ROOT-BOT-BR-0052,BOT-BR-0052,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,188
ROOT-BOT-BR-0053,BOT-BR-0053,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,316
ROOT-BOT-BR-0054,BOT-BR-0054,fibrous with juvenile taproot,medium,moderate,low to medium,,,fibrous with juvenile taproot,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,234
ROOT-BOT-BR-0055,BOT-BR-0055,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0056,BOT-BR-0056,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0057,BOT-BR-0057,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0058,BOT-BR-0058,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0059,BOT-BR-0059,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0060,BOT-BR-0060,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0061,BOT-BR-0061,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0062,BOT-BR-0062,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0063,BOT-BR-0063,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0064,BOT-BR-0064,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0065,BOT-BR-0065,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0066,BOT-BR-0066,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0067,BOT-BR-0067,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0068,BOT-BR-0068,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0069,BOT-BR-0069,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0070,BOT-BR-0070,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0071,BOT-BR-0071,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0072,BOT-BR-0072,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,74
ROOT-BOT-BR-0073,BOT-BR-0073,deep feeder root system with laterals,medium to deep,moderate,low,,,deep feeder root system with laterals,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,75
ROOT-BOT-BR-0074,BOT-BR-0074,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,298
ROOT-BOT-BR-0075,BOT-BR-0075,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,16
ROOT-BOT-BR-0076,BOT-BR-0076,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,221
