zone_profile_id,botanical_entry_id,match_status,match_candidates,botanical_link,common_names,growth_habit,forest_garden_layer,lifespan,native_region,climate_band_prefers,hardiness_class,outdoor_suitability,greenhouse_zone,indoor_container_use,soil_type,soil_moisture,soil_functions,sun_exposure,humidity_preference,root_depth_type,spread_pattern,companion_plants,incompatible_with,guild_roles,foraging_habitat,harvest_window,planting_sowing_window,yield_regrowth,propagation_methods,conservation_status,foraging_cautions,wildlife_supported,notes,branch_id,country,region,zone,microclimate_tags,production_mode,source_table,source_row
BRWM-00001,BOT-BR-0001,matched_source_id,BOT-BR-0001:Abacaxi,Abacaxi,Abacaxi,Herb,,,Brazil,Managed tropical,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,2
BRWM-00002,BOT-BR-0001,matched_source_id,BOT-BR-0001:Abacaxi,Abacaxi,Abacaxi,Herb,,,Brazil,Managed tropical,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,3
BRWM-00003,BOT-BR-0001,matched_source_id,BOT-BR-0001:Abacaxi,Abacaxi,Abacaxi,Herb,,,Brazil,Managed tropical,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,4
BRWM-00004,BOT-BR-0002,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,5
BRWM-00005,BOT-BR-0002,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,6
BRWM-00006,BOT-BR-0002,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Abacaxi — BRS Ajubá,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,7
BRWM-00007,BOT-BR-0003,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,8
BRWM-00008,BOT-BR-0003,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,9
BRWM-00009,BOT-BR-0003,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Abacaxi — BRS Imperial,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,10
BRWM-00010,BOT-BR-0004,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,11
BRWM-00011,BOT-BR-0004,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,12
