botanical_entry_id,botanical_name,duplicate_name_group,duplicate_name_count,source_table,source_row
BOT-UK-0005,Rosemary,rosemary,2,Botanical list (kombucha friendly),6
BOT-UK-0011,Thyme,thyme,2,Botanical list (kombucha friendly),12
BOT-UK-0025,Sage,sage,2,Botanical list (kombucha friendly),26
BOT-UK-0027,Chickweed,chickweed,2,Botanical list (kombucha friendly),28
BOT-UK-0031,Wood Sorrel,wood_sorrel,2,Botanical list (kombucha friendly),32
BOT-UK-0033,Lemon Balm,lemon_balm,2,Botanical list (kombucha friendly),34
BOT-UK-0039,Sheep Sorrel,sheep_sorrel,2,Botanical list (kombucha friendly),40
BOT-UK-0044,Lemon Balm,lemon_balm,2,Botanical list (kombucha friendly),45
BOT-UK-0054,Ground Ivy,ground_ivy,2,Botanical list (kombucha friendly),55
BOT-UK-0062,Chickweed,chickweed,2,Botanical list (kombucha friendly),63
BOT-UK-0067,Ground Ivy,ground_ivy,2,Botanical list (kombucha friendly),68
BOT-UK-0073,Rosemary,rosemary,2,Botanical list (kombucha friendly),74
BOT-UK-0075,Sheep Sorrel,sheep_sorrel,2,Botanical list (kombucha friendly),76
BOT-UK-0077,Sage,sage,2,Botanical list (kombucha friendly),78
BOT-UK-0086,Thyme,thyme,2,Botanical list (kombucha friendly),87
BOT-UK-0088,Wood Sorrel,wood_sorrel,2,Botanical list (kombucha friendly),89
