botanical_entry_id,light_preference,flood_tolerance,salinity_tolerance,heat_tolerance,fire_tolerance,harvest_window_brazil,local_only_flag,export_mode,nursery_only_flag,education_only_flag,current_site_live_flag,match_basis
BOTBR-0001,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0001,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0001,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0002,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0002,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0002,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0003,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0003,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0003,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0004,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0004,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0004,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0005,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0005,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0005,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0006,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0006,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0006,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0007,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0007,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0007,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0008,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0008,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0008,full sun,low,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0009,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0009,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0009,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0010,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0010,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0010,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0011,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
