fighter,opponent,odds,event,date
Brendan Allen,Roman Dolidze,1.29,UFC Fight Night: Font vs. Aldo,
Brendan Allen,Trevin Giles,,Legacy FC 52: Schnell vs. Mai,Oct 25th 2025
Brendan Allen,Chris Curtis,1.36,UFC,
Brendan Allen,Eryk Anders,1.95,LFA 14: Allen vs. Anders,Dec 8th 2024
Brendan Allen,Gabriel Checco,2.7,Grappling,
Brendan Allen,Chris Curtis,1.33,UFC Fight Night: Font vs. Aldo,Sep 2nd 2023
Brendan Allen,Puna Soriano,2.85,UFC on ESPN: Sandhagen vs. Dillashaw,
Brendan Allen,Karl Roberson,1.49,UFC 261: Usman vs. Masvidal 2,Mar 4th 2023
Brendan Allen,Tim Hiley,1.51,LFA 50: Allen vs. Hiley,
Brendan Allen,Anthony Hernandez,2.64,UFC,Sep 3rd 2022
Brendan Allen,Andre Muniz,1.91,UFC Fight Night 220,
Brendan Allen,Kevin Holland,2.7,UFC on ESPN 6: Reyes vs. Weidman,Jan 22nd 2022
Brendan Allen,Sam Alvey,1.29,UFC Vegas 47,
Brendan Allen,Chris Harris,2.25,LFA 18: Aguilar vs. Rader,Aug 7th 2021
Brendan Allen,Moses Murrietta,1.38,LFA 61: Allen vs. Murrietta,
Brendan Allen,Marvin Vettori,1.36,UFC,Jun 26th 2021
Brendan Allen,Sean Strickland,2.05,UFC Fight Night 182: Felder vs. dos Anjos,
Brendan Allen,Jacob Malkoun,1.53,UFC 275: Teixeira vs. Prochazka,Feb 27th 2021
Brendan Allen,Anthony Hernandez,1.38,LFA 32: Allen vs. Hernandez,
Brendan Allen,Jon Kirk,1.2,LFA 3: Spann vs. Giles,Dec 12th 2020
Brendan Allen,Bruno Silva,1.5,UFC Fight Night 228,
Brendan Allen,Tom Breese,1.71,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Dec 21st 2019
Brendan Allen,Ian Heinisch,1.91,UFC on ESPN+ 40: Santos vs. Teixeira,
Brendan Allen,Paul Craig,1.36,UFC,Oct 26th 2019
Brendan Allen,Kyle Daukaus,1.4,UFC on ESPN 12: Poirier vs. Hooker,
Brendan Allen,Krzysztof Jotko,1.8,UFC Vegas 57,Aug 10th 2019
Brendan Allen,Aaron Jeffery,1.4,Dana White's Contender Series 20,
Brendan Allen,Reinier de Ridder,2.4,UFC Fight Night,
Brendan Allen,Larry Crowe,1.25,LFA 43: Allen vs. Crowe,
Brendan Allen,Nassourdine Imavov,2.4,UFC,
Reinier de Ridder,Magomedmurad Khasaev,1.15,UAE Warriors,
Reinier de Ridder,Tye Ruotolo,2.55,One,
Reinier de Ridder,Gilberto Galvao,,ONE Championship 97: Legendary Quest,
Reinier de Ridder,Fan Rong,,ONE Championship 88: Hero's Ascent,
Reinier de Ridder,Leandro Ataides,,ONE Championship 108: Warrior's Code,
Reinier de Ridder,Aung La N Sang,,ONE Championship 118: Inside the Matrix,
Reinier de Ridder,Kevin Holland,2.24,UFC,
Reinier de Ridder,Robert Whittaker,2.52,UFC,
Reinier de Ridder,Anatoly Malykhin,5.2,ONE,
Reinier de Ridder,Anatoly Malykhin,1.37,ONE Championship 164,
Reinier de Ridder,Bo Nickal,2.7,UFC,
Reinier de Ridder,Aung La N Sang,1.42,ONE on TNT IV: N Sang vs. de Ridder,
Reinier de Ridder,Gerald Meerschaert,1.4,UFC,
Reinier de Ridder,Brendan Allen,1.57,UFC Fight Night,
Kevin Holland,Teagan Dooley,,Bellator 195: Caldwell vs. Higo,
Kevin Holland,Chris Bachmeier,,LFA 28: Jackson vs. Luna,
Kevin Holland,Rafael Lovato,,Legacy FC 46: Peterson vs. Rivera,
Kevin Holland,Marvin Vettori,2.88,UFC on ABC 2: Vettori vs. Holland,
Kevin Holland,Santiago Ponzinibbio,1.5,UFC 287,
Kevin Holland,Thiago Santos,3.15,UFC 227: Dillashaw vs. Garbrandt 2,
Kevin Holland,Joaquin Buckley,1.36,UFC on ESPN+ 32: Lewis vs. Oleinik,
Kevin Holland,Ronaldo Souza,1.57,UFC 256: Figueiredo vs. Moreno,
Kevin Holland,Stephen Thompson,1.91,UFC Fight Night 214,
Kevin Holland,Kody Hamrah,2.6,Fury Pro Grappling 3,
Kevin Holland,Reinier de Ridder,1.68,UFC,
Kevin Holland,Michael Chiesa,1.54,UFC,
Kevin Holland,Will Santiago,1.19,Dana White's Contender Series 9,
Kevin Holland,Tim Means,1.32,UFC Fight Night: Kattar vs. Emmett,
Kevin Holland,Curtis Millender,2.25,LFA 13: Millender vs. Holland,
Kevin Holland,Michal Oleksiejczuk,1.5,UFC,
Kevin Holland,Alessio Di Chirico,1.51,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,
Kevin Holland,Vicente Luque,1.5,UFC,
